,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description
205,METRONIDAZOLE,500,Intravenous,mg,8H,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
390,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
391,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
497,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
498,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
513,MIDAZOLAM,2.5,Intravenous,mg,Every 2 hours,Injection,5 mg/5ml,1014286,Y,ANAESTHESIA,15.01.04,Pack,10,x 5mL ampoule
802,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
891,FUROSEMIDE,40,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
892,FUROSEMIDE,80,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
893,FUROSEMIDE,40,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
894,FUROSEMIDE,80,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
1043,METOCLOPRAMIDE,10,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
1044,METOCLOPRAMIDE,10,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
1045,CYCLIZINE,50,Intravenous,mg,8H,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
1046,ONDANSETRON,4,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
1047,ONDANSETRON,4,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
1345,METOCLOPRAMIDE,10,Intravenous,mg,8 hourly,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
1346,METOCLOPRAMIDE,10,Intravenous,mg,8 hourly,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
1347,METOCLOPRAMIDE,10,Intravenous,mg,06:00,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
1348,METOCLOPRAMIDE,10,Intravenous,mg,06:00,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
1387,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
1388,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
1413,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
1414,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
1418,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
1419,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
1477,DEXAMETHASONE BASE,6.6,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
1482,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),"1,000.00",Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
1728,DEXAMETHASONE BASE,5.94,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
2029,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
2030,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
2180,MORPHINE SULFATE,5,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
