drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
MORPHINE SULFATE,10,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
BACLOFEN,20,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
OXYCODONE,10,Oral,mg,Every 3 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
CO-TRIMOXAZOLE [:ADULT],960,Oral,mg,BD,Oral Suspension,480 mg/5ml,1004646,N,INFECTIONS,05.01.08,Pack,100,mL,"['480 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PREGABALIN,20,Oral,mg,BD,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
KETAMINE (ORANGE),10,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,N,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
