,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
5,NITROFURANTOIN,100,Oral,mg,QDS,Tablets,100 mg,N,INFECTIONS,05.01.13,Pack,28,tablet,05.01.13,Urinary-tract infections
10,PARACETAMOL ,500,Oral,mg,6H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
11,PARACETAMOL ,500,Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
12,PARACETAMOL ,500,Oral,mg,6H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
13,PARACETAMOL ,500,Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
16,FOLIC ACID,5,Oral,mg,OM,Tablets,5 mg,N,NUTRITION AND BLOOD,09.01.02,Pack,28,tablet,09.01.02,Drugs used in megaloblastic anaemias
19,PARACETAMOL ,"1,000.00",Oral,mg,6H,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
20,PARACETAMOL ,500,Oral,mg,6H,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
21,PARACETAMOL ,"1,000.00",Oral,mg,6H,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
22,PARACETAMOL ,500,Oral,mg,6H,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
24,PREDNISOLONE,10,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
27,CLOPIDOGREL,75,Oral,mg,OM,Tablets,75 mg,N,CARDIVASCULAR SYSTEM,2.09,Pack,28,tablet,2.09,Antiplatelet drugs
28,CLOPIDOGREL,75,Oral,mg,OM,Tablets,75 mg,N,CARDIVASCULAR SYSTEM,2.09,Pack,30,tablet,2.09,Antiplatelet drugs
29,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,20,tablet,01.06.02,Stimulant laxatives
30,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
31,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
32,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,500,tablet,01.06.02,Stimulant laxatives
36,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
37,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
43,FINASTERIDE,5,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.04.02,Pack,28,tablet,06.04.02,Male sex hormones and antagonists
45,NITROFURANTOIN,100,Oral,mg,BD,Tablets,100 mg,N,INFECTIONS,05.01.13,Pack,28,tablet,05.01.13,Urinary-tract infections
46,ATORVASTATIN,40,Oral,mg,ON,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
47,ATORVASTATIN,40,Oral,mg,OM,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
53,CHLORPHENAMINE,4,Oral,mg,4H,Tablets,4 mg,Y,RESPIRATORY SYSTEM,03.04.01,Pack,28,tablet,03.04.01,Antihistamines
55,CLARITHROMYCIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.05,Pack,14,tablet,05.01.05,Macrolides
58,METHOTREXATE ,15,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,24,tablet,10.01.03,Rheumatic disease suppressant drugs
59,METHOTREXATE ,15,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,100,tablet,10.01.03,Rheumatic disease suppressant drugs
60,METHOTREXATE ,10,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,24,tablet,10.01.03,Rheumatic disease suppressant drugs
61,METHOTREXATE ,10,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,100,tablet,10.01.03,Rheumatic disease suppressant drugs
